-5.36672e-05  -0.000148295 -0.00121351  0.000525244 0.000988809 -0.0197814
-5.36672e-05  -0.000148295 -0.00121351  0.000525244 0.000988809 -0.0197814
-5.36672e-05  -0.000148295 -0.00121351  0.000525244 0.000988809 -0.0197814
-5.36672e-05  -0.000148295 -0.00121351  0.000525244 0.000988809 -0.0197814
-4.45936e-05  -0.000143668 -0.00130234  0.00119653 0.00100013 -0.0193109
-4.45936e-05  -0.000143668 -0.00130234  0.00119653 0.00100013 -0.0193109
-4.45936e-05  -0.000143668 -0.00130234  0.00119653 0.00100013 -0.0193109
-4.45936e-05  -0.000143668 -0.00130234  0.00119653 0.00100013 -0.0193109
-0.000142051  -0.000246174 -0.000938199  -0.00136896 0.000153673 -0.0176247
-0.000142051  -0.000246174 -0.000938199  -0.00136896 0.000153673 -0.0176247
-0.000142051  -0.000246174 -0.000938199  -0.00136896 0.000153673 -0.0176247
-0.000149435  -0.000245884 -0.00102803  -0.00139846 0.000198149 -0.0184308
-0.000149435  -0.000245884 -0.00102803  -0.00139846 0.000198149 -0.0184308
-0.000149435  -0.000245884 -0.00102803  -0.00139846 0.000198149 -0.0184308
-0.000149435  -0.000245884 -0.00102803  -0.00139846 0.000198149 -0.0184308
-0.000149435  -0.000245884 -0.00102803  -0.00139846 0.000198149 -0.0184308
-0.000156587  -0.000244931 -0.00112178  -0.00145442 0.000248012 -0.0192781
-0.000156587  -0.000244931 -0.00112178  -0.00145442 0.000248012 -0.0192781
-0.000156587  -0.000244931 -0.00112178  -0.00145442 0.000248012 -0.0192781
-0.000156587  -0.000244931 -0.00112178  -0.00145442 0.000248012 -0.0192781
-0.000156587  -0.000244931 -0.00112178  -0.00145442 0.000248012 -0.0192781
-0.000162026  -0.000243707 -0.00121598  -0.00132909 0.000285594 -0.0197514
-0.000162026  -0.000243707 -0.00121598  -0.00132909 0.000285594 -0.0197514
-0.000166542  -0.000241902 -0.00131504  -0.00118208 0.00033233 -0.0203906
-0.000166542  -0.000241902 -0.00131504  -0.00118208 0.00033233 -0.0203906
-0.000166542  -0.000241902 -0.00131504  -0.00118208 0.00033233 -0.0203906
-0.000166542  -0.000241902 -0.00131504  -0.00118208 0.00033233 -0.0203906
-0.000166542  -0.000241902 -0.00131504  -0.00118208 0.00033233 -0.0203906
-0.000168202  -0.000239735 -0.00141671  -0.000882906 0.000379103 -0.0209811
-0.000168202  -0.000239735 -0.00141671  -0.000882906 0.000379103 -0.0209811
-0.000168202  -0.000239735 -0.00141671  -0.000882906 0.000379103 -0.0209811
-0.000168202  -0.000239735 -0.00141671  -0.000882906 0.000379103 -0.0209811
-0.000168202  -0.000239735 -0.00141671  -0.000882906 0.000379103 -0.0209811
-0.000166039  -0.000239329 -0.00151823  -0.000128916 0.000178881 -0.0212748
-0.000166039  -0.000239329 -0.00151823  -0.000128916 0.000178881 -0.0212748
-0.000166039  -0.000239329 -0.00151823  -0.000128916 0.000178881 -0.0212748
-0.000166039  -0.000239329 -0.00151823  -0.000128916 0.000178881 -0.0212748
-0.000166039  -0.000239329 -0.00151823  -0.000128916 0.000178881 -0.0212748
-0.000138616  -0.000305517 -0.000949097  -0.000811703 -0.000205195 -0.01613
-0.000138616  -0.000305517 -0.000949097  -0.000811703 -0.000205195 -0.01613
-0.000143426  -0.000306652 -0.00103194  -0.00109117 -0.000253499 -0.0169826
-0.000143426  -0.000306652 -0.00103194  -0.00109117 -0.000253499 -0.0169826
-0.000143426  -0.000306652 -0.00103194  -0.00109117 -0.000253499 -0.0169826
-0.000143426  -0.000306652 -0.00103194  -0.00109117 -0.000253499 -0.0169826
-0.000143426  -0.000306652 -0.00103194  -0.00109117 -0.000253499 -0.0169826
-0.000145171  -0.000310203 -0.00112704  -0.0008727 -0.000554805 -0.0186959
-0.000145171  -0.000310203 -0.00112704  -0.0008727 -0.000554805 -0.0186959
-0.000145171  -0.000310203 -0.00112704  -0.0008727 -0.000554805 -0.0186959
-0.000145171  -0.000310203 -0.00112704  -0.0008727 -0.000554805 -0.0186959
-0.000145171  -0.000310203 -0.00112704  -0.0008727 -0.000554805 -0.0186959
-0.000148291  -0.000313301 -0.00121997  -0.000843392 -0.000694751 -0.0194978
-0.000148291  -0.000313301 -0.00121997  -0.000843392 -0.000694751 -0.0194978
-0.000148291  -0.000313301 -0.00121997  -0.000843392 -0.000694751 -0.0194978
-0.000150665  -0.000317097 -0.00131685  -0.000763653 -0.000834888 -0.0202874
-0.000150665  -0.000317097 -0.00131685  -0.000763653 -0.000834888 -0.0202874
-0.000150665  -0.000317097 -0.00131685  -0.000763653 -0.000834888 -0.0202874
-0.000150665  -0.000317097 -0.00131685  -0.000763653 -0.000834888 -0.0202874
-0.00015034  -0.000320074 -0.00141229  -0.000419719 -0.000758327 -0.0203189
-0.00015034  -0.000320074 -0.00141229  -0.000419719 -0.000758327 -0.0203189
-0.00015034  -0.000320074 -0.00141229  -0.000419719 -0.000758327 -0.0203189
-0.00015034  -0.000320074 -0.00141229  -0.000419719 -0.000758327 -0.0203189
-0.00015034  -0.000320074 -0.00141229  -0.000419719 -0.000758327 -0.0203189
-0.000152061  -0.000323939 -0.00151488  -0.000435055 -0.000802972 -0.0210825
-0.000152061  -0.000323939 -0.00151488  -0.000435055 -0.000802972 -0.0210825
-0.000152061  -0.000323939 -0.00151488  -0.000435055 -0.000802972 -0.0210825
-0.000152061  -0.000323939 -0.00151488  -0.000435055 -0.000802972 -0.0210825
-0.000152061  -0.000323939 -0.00151488  -0.000435055 -0.000802972 -0.0210825
-9.26366e-05  -0.000426806 -0.00102983  -0.000604734 -0.00132547 -0.0177026
-9.65676e-05  -0.000434063 -0.00111926  -0.000841744 -0.00137822 -0.0185215
-9.65676e-05  -0.000434063 -0.00111926  -0.000841744 -0.00137822 -0.0185215
-9.65676e-05  -0.000434063 -0.00111926  -0.000841744 -0.00137822 -0.0185215
-9.65676e-05  -0.000434063 -0.00111926  -0.000841744 -0.00137822 -0.0185215
-9.65676e-05  -0.000434063 -0.00111926  -0.000841744 -0.00137822 -0.0185215
-9.65676e-05  -0.000434063 -0.00111926  -0.000841744 -0.00137822 -0.0185215
-0.000102224  -0.000441706 -0.00120368  -0.00111973 -0.00146257 -0.0184405
-0.000102224  -0.000441706 -0.00120368  -0.00111973 -0.00146257 -0.0184405
-0.000102224  -0.000441706 -0.00120368  -0.00111973 -0.00146257 -0.0184405
-0.000102224  -0.000441706 -0.00120368  -0.00111973 -0.00146257 -0.0184405
-0.000102224  -0.000441706 -0.00120368  -0.00111973 -0.00146257 -0.0184405
-0.000108414  -0.000449147 -0.00129623  -0.00133114 -0.00152062 -0.0189757
-0.000108414  -0.000449147 -0.00129623  -0.00133114 -0.00152062 -0.0189757
-0.000108414  -0.000449147 -0.00129623  -0.00133114 -0.00152062 -0.0189757
-0.000108414  -0.000449147 -0.00129623  -0.00133114 -0.00152062 -0.0189757
-0.000115652  -0.000456906 -0.00139041  -0.001542 -0.00158203 -0.0194174
-0.000115652  -0.000456906 -0.00139041  -0.001542 -0.00158203 -0.0194174
-0.000120735  -0.000465003 -0.00148592  -0.00134956 -0.00163868 -0.019844
-0.000120735  -0.000465003 -0.00148592  -0.00134956 -0.00163868 -0.019844
-0.000120735  -0.000465003 -0.00148592  -0.00134956 -0.00163868 -0.019844
-0.000120735  -0.000465003 -0.00148592  -0.00134956 -0.00163868 -0.019844
-0.000120735  -0.000465003 -0.00148592  -0.00134956 -0.00163868 -0.019844
8.62393e-05  -0.00062576 -0.00109694  0.00155903 -0.0034361 -0.0181316
8.62393e-05  -0.00062576 -0.00109694  0.00155903 -0.0034361 -0.0181316
8.62393e-05  -0.00062576 -0.00109694  0.00155903 -0.0034361 -0.0181316
8.62393e-05  -0.00062576 -0.00109694  0.00155903 -0.0034361 -0.0181316
8.62393e-05  -0.00062576 -0.00109694  0.00155903 -0.0034361 -0.0181316
9.54406e-05  -0.000642487 -0.00119183  0.00161159 -0.0034788 -0.0191352
9.54406e-05  -0.000642487 -0.00119183  0.00161159 -0.0034788 -0.0191352
9.54406e-05  -0.000642487 -0.00119183  0.00161159 -0.0034788 -0.0191352
0.00011  -0.000659718 -0.00128635  0.00221087 -0.00354076 -0.0196452
0.00011  -0.000659718 -0.00128635  0.00221087 -0.00354076 -0.0196452
0.00011  -0.000659718 -0.00128635  0.00221087 -0.00354076 -0.0196452
0.00011  -0.000659718 -0.00128635  0.00221087 -0.00354076 -0.0196452
0.00011  -0.000659718 -0.00128635  0.00221087 -0.00354076 -0.0196452
0.000120044  -0.000677264 -0.00138606  0.00218363 -0.00359554 -0.0204096
0.000120044  -0.000677264 -0.00138606  0.00218363 -0.00359554 -0.0204096
0.000120044  -0.000677264 -0.00138606  0.00218363 -0.00359554 -0.0204096
0.000120044  -0.000677264 -0.00138606  0.00218363 -0.00359554 -0.0204096
0.000120044  -0.000677264 -0.00138606  0.00218363 -0.00359554 -0.0204096
0.00013111  -0.000695376 -0.00148871  0.00228423 -0.0036543 -0.0211094
0.00013111  -0.000695376 -0.00148871  0.00228423 -0.0036543 -0.0211094
0.00013111  -0.000695376 -0.00148871  0.00228423 -0.0036543 -0.0211094
0.00013111  -0.000695376 -0.00148871  0.00228423 -0.0036543 -0.0211094
0.000145217  -0.000714148 -0.00158938  0.00259049 -0.00373771 -0.02117
0.000145217  -0.000714148 -0.00158938  0.00259049 -0.00373771 -0.02117
0.000158271  -0.000733112 -0.00169635  0.00258215 -0.0037971 -0.0219077
0.000158271  -0.000733112 -0.00169635  0.00258215 -0.0037971 -0.0219077
0.000158271  -0.000733112 -0.00169635  0.00258215 -0.0037971 -0.0219077
0.000158271  -0.000733112 -0.00169635  0.00258215 -0.0037971 -0.0219077
0.000158271  -0.000733112 -0.00169635  0.00258215 -0.0037971 -0.0219077
0.000105703  -0.000737732 -0.000998877  0.00246504 -0.00433685 -0.0141319
